Vivado Simulator 2019.1
Time resolution is 1 ps
WARNING: File reg_init.mem referenced on C:/Users/yashw/RISC-V_PROJECT.srcs/sources_1/new/reg_file.sv at line 27 cannot be opened for reading. Please ensure that this file is available in the current working directory.
==== RISC-V Top Module Testbench Started ====
Time: 270000 | PC=0x00000068 | Inst=0x004f9c83 | rs1=x31=0x00000064 | rs2=x4=0x000000ff | rd=x25 | alu_op=0000 | alu_result=0x00000068 | MemRW=0 | RegWrite=1 | MemOut=0x0000000a
Time: 280000 | PC=0x0000006c | Inst=0x004fdd03 | rs1=x31=0x00000064 | rs2=x4=0x000000ff | rd=x26 | alu_op=0000 | alu_result=0x00000068 | MemRW=0 | RegWrite=1 | MemOut=0x0000000a
Time: 290000 | PC=0x00000070 | Inst=0x008f8d83 | rs1=x31=0x00000064 | rs2=x8=0x00000005 | rd=x27 | alu_op=0000 | alu_result=0x0000006c | MemRW=0 | RegWrite=1 | MemOut=0x00000005
Time: 300000 | PC=0x00000074 | Inst=0x008fce03 | rs1=x31=0x00000064 | rs2=x8=0x00000005 | rd=x28 | alu_op=0000 | alu_result=0x0000006c | MemRW=0 | RegWrite=1 | MemOut=0x00000005
Time: 310000 | PC=0x00000078 | Inst=0x00108463 | rs1=x1=0x00000005 | rs2=x1=0x00000005 | rd=x8 | alu_op=0000 | alu_result=0x0000000a | MemRW=0 | RegWrite=0 | MemOut=0x00000000
Time: 320000 | PC=0x00000080 | Inst=0x00209463 | rs1=x1=0x00000005 | rs2=x2=0x0000000a | rd=x8 | alu_op=0000 | alu_result=0x0000000f | MemRW=0 | RegWrite=0 | MemOut=0x00000000
Time: 330000 | PC=0x00000088 | Inst=0x0020c463 | rs1=x1=0x00000005 | rs2=x2=0x0000000a | rd=x8 | alu_op=0000 | alu_result=0x0000000f | MemRW=0 | RegWrite=0 | MemOut=0x00000000
Time: 340000 | PC=0x00000090 | Inst=0x00115463 | rs1=x2=0x0000000a | rs2=x1=0x00000005 | rd=x8 | alu_op=0000 | alu_result=0x0000000f | MemRW=0 | RegWrite=0 | MemOut=0x00000000
Time: 350000 | PC=0x00000098 | Inst=0x0020e463 | rs1=x1=0x00000005 | rs2=x2=0x0000000a | rd=x8 | alu_op=0000 | alu_result=0x0000000f | MemRW=0 | RegWrite=0 | MemOut=0x00000000
Time: 360000 | PC=0x000000a0 | Inst=0x00117463 | rs1=x2=0x0000000a | rs2=x1=0x00000005 | rd=x8 | alu_op=0000 | alu_result=0x0000000f | MemRW=0 | RegWrite=0 | MemOut=0x00000000
Time: 370000 | PC=0x000000a8 | Inst=0x0080056f | rs1=x0=0x00000000 | rs2=x8=0x00000005 | rd=x10 | alu_op=0000 | alu_result=0x000000ad | MemRW=0 | RegWrite=1 | MemOut=0x00000000
Time: 380000 | PC=0x000000b0 | Inst=0x04000613 | rs1=x0=0x00000000 | rs2=x0=0x00000000 | rd=x12 | alu_op=0000 | alu_result=0x00000040 | MemRW=0 | RegWrite=1 | MemOut=0x00000029
Time: 390000 | PC=0x000000b4 | Inst=0x000606e7 | rs1=x12=0x00000040 | rs2=x0=0x00000000 | rd=x13 | alu_op=0000 | alu_result=0x00000040 | MemRW=0 | RegWrite=1 | MemOut=0x00000029
Time: 400000 | PC=0x00000040 | Inst=0x0010c913 | rs1=x1=0x00000005 | rs2=x1=0x00000005 | rd=x18 | alu_op=0101 | alu_result=0x00000004 | MemRW=0 | RegWrite=1 | MemOut=0x000000a3
Time: 410000 | PC=0x00000044 | Inst=0x0020e993 | rs1=x1=0x00000005 | rs2=x2=0x0000000a | rd=x19 | alu_op=1000 | alu_result=0x00000007 | MemRW=0 | RegWrite=1 | MemOut=0x00000000
Time: 420000 | PC=0x00000048 | Inst=0x0070fa13 | rs1=x1=0x00000005 | rs2=x7=0x0000000a | rd=x20 | alu_op=1001 | alu_result=0x00000005 | MemRW=0 | RegWrite=1 | MemOut=0x00000000
Time: 430000 | PC=0x0000004c | Inst=0x00109a93 | rs1=x1=0x00000005 | rs2=x1=0x00000005 | rd=x21 | alu_op=1111 | alu_result=0x00000000 | MemRW=0 | RegWrite=1 | MemOut=0x00000001
Time: 440000 | PC=0x00000050 | Inst=0x00125b13 | rs1=x4=0x000000ff | rs2=x1=0x00000005 | rd=x22 | alu_op=0110 | alu_result=0x0000007f | MemRW=0 | RegWrite=1 | MemOut=0x00000000
Time: 450000 | PC=0x00000054 | Inst=0x06400f93 | rs1=x0=0x00000000 | rs2=x4=0x000000ff | rd=x31 | alu_op=0000 | alu_result=0x00000064 | MemRW=0 | RegWrite=1 | MemOut=0x0000000f
